Seq_id	Size	Description
1	4530125	NZ_CP006758.1
2	4502257	NZ_CP006794.1
3	4639390	CP045640.1
4	4553586	NC_014029.1
5	4636496	NZ_CP033690.1
6	4708493	NZ_CP033699.1
7	4708024	NZ_CP009906.1
8	4501786	NZ_CP009935.1
9	4653728	NC_003143.1
10	4546217	NZ_CP045149.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	540821	546172	5352
1	+	3599258	3604609	5352
1	+	726974	732326	5353
1	-	958236	952885	5352
1	-	1198575	1193224	5352
1	+	378855	384206	5352
1	+	4335985	4341395	5411
2	-	2763047	2757696	5352
2	-	1933929	1928579	5351
2	+	1554549	1559901	5353
2	+	543004	548353	5350
2	+	1210843	1216193	5351
2	+	1044916	1050262	5347
2	+	1002053	1007464	5412
3	-	41912	36561	5352
3	+	3291618	3297029	5412
3	-	208415	203004	5412
3	+	3958103	3963454	5352
3	-	251279	245868	5412
3	+	4587984	4593335	5352
3	-	871299	865948	5352
4	-	17408	12057	5352
4	+	4431006	4436357	5352
4	-	1271781	1266430	5352
4	+	4264913	4270324	5412
4	+	4222047	4227458	5412
4	+	3699458	3704809	5352
5	-	1431590	1426239	5352
5	-	1157114	1151763	5352
5	-	1598174	1592763	5412
5	-	1641062	1635651	5412
5	+	711151	716502	5352
5	+	42366	47777	5412
5	-	2261682	2256331	5352
6	-	414334	408923	5412
6	-	1124195	1118844	5352
6	-	504211	498862	5350
6	-	626210	620860	5351
6	+	4320060	4325470	5411
6	+	4433515	4438866	5352
6	+	3565253	3570664	5412
7	+	2222000	2227411	5412
7	+	2335490	2340803	5314
7	-	3024752	3019344	5409
7	-	3114625	3109276	5350
7	-	3236625	3231274	5352
7	-	3734594	3729251	5344
7	+	1467410	1472820	5411
8	+	176769	182117	5349
8	+	108393	113743	5351
8	-	1489900	1484489	5412
8	-	2992072	2986722	5351
8	-	1013981	1008630	5352
8	-	1130080	1124668	5413
8	-	1633291	1627880	5412
9	+	3648971	3654382	5412
9	-	1222622	1217271	5352
9	-	17409	12058	5352
9	+	4175255	4180666	5412
9	+	4218153	4223530	5378
9	+	4384616	4389967	5352
10	+	4262215	4267566	5352
10	+	3077377	3082728	5352
10	+	4494815	4500162	5348
10	-	88605	83254	5352
10	-	256449	251038	5412
10	-	299313	293902	5412
10	-	758998	753587	5412
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	3462285	3470184	7900
1	+	3887141	3895070	7930
2	-	3195600	3187704	7897
2	-	2472302	2464372	7931
3	-	581861	573932	7930
3	-	1338036	1330137	7900
4	-	986025	978126	7900
4	-	1737544	1729615	7930
5	-	2728078	2720179	7900
5	-	1972207	1964278	7930
6	-	828203	820274	7930
6	-	1366705	1358806	7900
7	-	3438617	3430688	7930
7	-	3977087	3969190	7898
8	-	4141702	4133803	7900
8	+	1173059	1180988	7930
9	-	1668004	1660105	7900
9	+	1074777	1082706	7930
10	+	2612629	2620528	7900
10	-	3622161	3614232	7930
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
1	+	2255529	2263901	8373
2	-	4299333	4290962	8372
3	+	1696306	1704677	8372
4	-	3272286	3263950	8337
5	+	4097545	4105916	8372
6	-	2805970	2797635	8336
7	-	708133	699799	8335
8	-	1363398	1355071	8328
9	+	3108885	3117257	8373
10	+	1504022	1512393	8372
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	-	635549	629263	6287
2	-	1261735	1255449	6287
3	-	4360995	4354709	6287
4	+	109532	115818	6287
5	+	1380713	1386999	6287
6	+	777554	783840	6287
7	+	3387969	3394255	6287
8	+	1108491	1114777	6287
9	+	110546	116832	6287
10	-	4403105	4396819	6287
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	-	4434766	4353410	81357
2	+	649262	730814	81553
3	+	3398106	3479705	81600
4	+	3805894	3887447	81554
5	+	150812	232396	81585
6	+	3674409	3755901	81493
7	+	1576388	1657861	81474
8	+	1987298	2069408	82111
9	+	3755278	3836815	81538
10	-	652672	571091	81582
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	+	1384175	1423143	38969
2	-	364965	325851	39115
3	-	3115432	3075158	40275
4	-	3521312	3482328	38985
5	-	4500724	4461740	38985
6	-	3383408	3344417	38992
7	-	1285579	1246588	38992
8	+	2295980	2334872	38893
9	-	3466907	3427924	38984
10	+	937862	976839	38978
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	+	3703061	3724998	21938
2	-	2660710	2638764	21947
3	-	770200	748254	21947
4	-	1169409	1147463	21947
5	-	2160565	2138619	21947
6	-	1021129	999183	21947
7	-	3631538	3609594	21945
8	+	4452772	4474723	21952
9	+	884508	906454	21947
10	+	3177774	3199719	21946
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	-	2991638	2970951	20688
2	+	3562731	3583403	20673
3	+	1893711	1914524	20814
4	-	2305816	2284983	20834
5	+	3195327	3216188	20862
6	+	2076813	2097666	20854
7	+	4687170	4708024	20855
8	-	3561105	3539231	21875
9	+	2307692	2328521	20830
10	-	2244602	2223789	20814
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
1	-	1058530	1039426	19105
2	+	901772	920900	19129
3	-	351590	332462	19129
4	-	340939	321811	19129
5	+	1790137	1809247	19111
6	-	4708493	4687098	21396
7	-	2610163	2589048	21116
8	+	1746727	1766092	19366
9	-	344553	325425	19129
10	-	399875	380468	19408
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	+	2836372	2850817	14446
2	+	3831237	3845683	14447
3	-	2052612	2038166	14447
4	+	2146906	2161352	14447
5	-	3353565	3339119	14447
6	-	2223391	2208945	14447
7	-	125718	111272	14447
8	+	3247633	3262061	14429
9	-	2466598	2452152	14447
10	+	2085214	2099660	14447
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	-	3059241	3041225	18017
2	+	3497238	3515150	17913
3	-	2500554	2482648	17907
4	-	2371314	2353396	17919
5	+	3129842	3147748	17907
6	+	2009357	2027275	17919
7	+	4619716	4637634	17919
8	-	3624646	3606723	17924
9	+	2239525	2257443	17919
10	-	2310829	2292893	17937
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	+	2678590	2704547	25958
2	-	3878172	3852179	25994
3	-	2208295	2182308	25988
4	+	1993335	2019310	25976
5	-	3509265	3483266	26000
6	-	2379639	2351748	27892
7	-	281965	254075	27891
8	+	3291805	3317700	25896
9	-	2631095	2605150	25946
10	+	1928397	1954386	25990
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	-	4163412	4117133	46280
2	-	1380153	1333957	46197
3	-	4012079	3965771	46309
4	+	4086704	4133133	46430
5	-	765127	718819	46309
6	-	276879	230452	46428
7	-	2887309	2840882	46428
8	-	2193530	2147128	46403
9	-	3998764	3952335	46430
10	-	3939414	3893109	46306
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	+	62635	70707	8073
2	+	2098511	2106583	8073
3	+	3793583	3801655	8073
4	-	596487	588415	8073
5	+	545896	553968	8073
6	-	426510	418447	8064
7	-	3036927	3028864	8064
8	+	1766096	1774160	8065
9	-	542993	534921	8073
10	+	3751143	3759215	8073
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	1319899	1357651	37753
2	-	428464	391459	37006
3	-	3178931	3141926	37006
4	-	3584811	3547806	37006
5	-	4566183	4527218	38966
6	-	3448863	3411862	37002
7	-	1351030	1314029	37002
8	-	4235322	4197682	37641
9	-	3532365	3495360	37006
10	+	874355	911368	37014
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	+	1863057	1924265	61209
2	+	3085478	3146914	61437
3	+	1227582	1289341	61760
4	+	1627415	1688819	61405
5	+	2617989	2679383	61395
6	+	1252628	1316045	63418
7	+	3863022	3926439	63418
8	+	3013432	3075825	62394
9	+	1557995	1619372	61378
10	-	2723799	2662200	61600
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	-	3676056	3649149	26908
2	+	2686365	2711198	24834
3	+	795864	820697	24834
4	+	1197042	1221875	24834
5	+	2186247	2211080	24834
6	+	1046801	1071634	24834
7	+	3657210	3682043	24834
8	-	4427150	4402317	24834
9	+	1147883	1172716	24834
10	-	3152101	3127268	24834
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	+	2995177	3040116	44940
2	-	3559193	3516314	42880
3	-	1890172	1847303	42870
4	+	2309355	2352232	42878
5	-	3191788	3148911	42878
6	-	2073274	2028439	44836
7	-	4683632	4638798	44835
8	+	3561106	3605406	44301
9	-	2304153	2258607	45547
10	+	2248852	2291729	42878
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	+	1184042	1193223	9182
2	-	1225375	1216194	9182
3	+	27379	36560	9182
4	-	4445539	4436358	9182
5	+	1417057	1426238	9182
6	+	611678	620859	9182
7	+	3222092	3231273	9182
8	+	1115486	1124667	9182
9	-	4399148	4389968	9181
10	+	74072	83253	9182
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	-	1184041	1165186	18856
2	+	1225376	1244231	18856
3	-	27378	8523	18856
4	+	4445540	4464396	18857
5	-	1417056	1398201	18856
6	-	611677	593042	18636
7	-	3222091	3203456	18636
8	+	618194	637034	18841
9	+	4399149	4418004	18856
10	-	74071	55216	18856
--------------------------------------------------------------------------------
Block #21
Seq_id	Strand	Start	End	Length
1	-	2742234	2710092	32143
2	-	3738249	3706149	32101
3	+	2145723	2177765	32043
4	-	2056245	2024855	31391
5	+	3446660	3478723	32064
6	+	2314894	2346318	31425
7	+	217221	248645	31425
8	+	3378603	3412025	33423
9	+	2568230	2599605	31376
10	-	1992038	1959931	32108
--------------------------------------------------------------------------------
Block #22
Seq_id	Strand	Start	End	Length
1	+	3754839	3833266	78428
2	-	2608862	2531194	77669
3	-	718415	640723	77693
4	-	1117592	1039905	77688
5	-	2108764	2031071	77694
6	-	969344	887738	81607
7	-	3579756	3498150	81607
8	-	617482	539970	77513
9	+	936309	1013545	77237
10	+	3229558	3307136	77579
--------------------------------------------------------------------------------
Block #23
Seq_id	Strand	Start	End	Length
1	+	2897656	2910418	12763
2	-	3657417	3645249	12169
3	-	1989253	1976501	12753
4	+	2210255	2223007	12753
5	+	3264639	3276807	12169
6	-	2160042	2147290	12753
7	-	62372	49623	12750
8	+	3483212	3495949	12738
9	-	2403249	2390497	12753
10	+	2149896	2162064	12169
--------------------------------------------------------------------------------
Block #24
Seq_id	Strand	Start	End	Length
1	-	193820	136021	57800
2	+	1965626	2023510	57885
3	-	3925695	3867681	58015
4	+	464374	522380	58007
5	-	678743	620708	58036
6	+	65490	123499	58010
7	+	2675931	2733939	58009
8	-	1899173	1840922	58252
9	+	410874	468887	58014
10	-	3883282	3825268	58015
--------------------------------------------------------------------------------
Block #25
Seq_id	Strand	Start	End	Length
1	-	1111792	1062732	49061
2	+	848447	897570	49124
3	-	405037	355792	49246
4	-	452166	402964	49203
5	+	1736812	1785935	49124
6	-	53282	3923	49360
7	-	2663724	2614365	49360
8	+	1692867	1742094	49228
9	-	398666	348755	49912
10	-	453166	403798	49369
--------------------------------------------------------------------------------
